FAMILY CODE,ICD Code
0610-027-04A-02032,K29.61
0610-0F2-04A-04001,K29.61
0610-027-04A-03032,K29.61
0610-027-04A-01032,K29.61
0610-027-04A-01014,K29.61
0610-075-04A-0101E,K29.61
0610-027-04A-0101E,K29.61
0610-027-04A-013E8,K29.61
0610-027-04A-021F4,K29.61
0610-074-04A-04001,K29.61
0610-094-04A-01010,K29.61
0610-027-04A-023E8,K29.61
0610-075-04A-03028,K29.61
0610-075-04A-030FA,K29.61
0610-075-04A-020F0,K29.61
0610-075-04A-023E8,K29.61
0610-075-04A-010FA,K29.61
0610-075-04A-013E8,K29.61
0610-075-04A-0301E,K29.61
0610-075-04A-0201E,K29.61
0610-075-04A-02064,K29.61
0610-075-04A-03064,K29.61
0610-006-04A-02032,K29.61
0610-019-04A-03014,K29.61
0610-00B-04A-01032,K29.61
0610-00B-04A-01018,K29.61
0610-094-04A-01020,K29.61
0610-027-04A-0301E,K29.61
0610-072-04A-05014,K29.61
0610-0F0-04A-01018,K29.61
0610-075-04A-02078,K29.61
0610-019-04A-0301E,K29.61
0610-061-04A-02014,K29.61
0610-075-04A-0200F,K29.61
0610-0A3-04A-09001,K29.61
0610-024-04A-0301E,K29.61
0610-0D2-04A-04001,K29.61
0610-061-04A-0301E,K29.61
0610-006-04A-02014,K29.61
0610-066-033-12004,O99.019
0610-064-035-18001,O99.019
0610-066-033-20005,O99.019
0610-064-033-21014,O99.019
0610-064-033-18001,O99.019
0610-075-04A-02018,O99.019
0610-075-04A-01018,O99.019
0610-075-04A-020FA,O99.019
0610-075-04A-011F4,O99.019
0610-075-04A-01019,O99.019
0610-075-04A-01064,O99.019
0610-075-04A-03014,O99.019
0610-075-04A-021F4,O99.019
0610-075-04A-02014,O99.019
0610-075-04A-01014,O99.019
0610-075-04A-031F4,O99.019
0610-027-04A-03014,O99.019
0610-06F-04A-04001,O99.019
0610-027-04A-02014,O99.019
0610-091-04A-0701E,O99.019
0610-027-04A-0201E,O99.019
0610-027-04A-02032,O99.019
0610-0F2-04A-04001,O99.019
0610-027-04A-03032,O99.019
0610-027-04A-01032,O99.019
0610-027-04A-01014,O99.019
0610-075-04A-0101E,O99.019
0610-027-04A-0101E,O99.019
0610-027-04A-013E8,O99.019
0610-027-04A-021F4,O99.019
0610-074-04A-04001,O99.019
0610-094-04A-01010,O99.019
0610-027-04A-023E8,O99.019
0610-075-04A-03028,O99.019
0610-075-04A-030FA,O99.019
